# Empty lines and lines starting with "#" are ignored.
# R G B

0.000 0.000 0.000
0.039 0.016 0.078
0.078 0.071 0.137
0.157 0.153 0.239
0.298 0.298 0.400
0.486 0.490 0.608
0.714 0.725 0.847
0.910 0.922 0.976
1.000 1.000 1.000
0.576 0.941 0.984
0.380 0.769 0.969
0.180 0.565 0.949
0.122 0.337 0.933
0.090 0.176 0.796
0.055 0.078 0.553
0.027 0.016 0.337
0.047 0.016 0.149
0.114 0.039 0.247
0.239 0.106 0.427
0.427 0.231 0.647
0.694 0.353 0.910
0.835 0.569 0.949
0.976 0.820 0.918
1.000 0.667 0.796
1.000 0.459 0.729
0.969 0.278 0.647
0.757 0.165 0.451
0.518 0.071 0.333
0.337 0.035 0.243
0.176 0.008 0.157
0.118 0.012 0.086
0.208 0.039 0.133
0.349 0.094 0.192
0.518 0.196 0.294
0.698 0.322 0.447
0.847 0.447 0.616
0.949 0.635 0.816
1.000 0.929 0.918
1.000 0.761 0.749
1.000 0.549 0.576
0.937 0.271 0.337
0.788 0.110 0.231
0.537 0.035 0.169
0.310 0.008 0.129
0.157 0.000 0.090
0.098 0.000 0.047
0.220 0.004 0.059
0.369 0.004 0.082
0.569 0.031 0.102
0.800 0.063 0.122
0.949 0.141 0.169
1.000 0.349 0.349
1.000 0.604 0.557
1.000 0.447 0.337
1.000 0.286 0.176
0.800 0.145 0.110
0.600 0.071 0.071
0.408 0.039 0.059
0.259 0.000 0.051
0.137 0.000 0.043
0.239 0.035 0.086
0.388 0.098 0.133
0.557 0.200 0.200
0.710 0.337 0.298
0.867 0.522 0.431
0.969 0.718 0.580
1.000 0.898 0.749
1.000 0.784 0.569
1.000 0.620 0.400
1.000 0.439 0.220
0.929 0.286 0.090
0.737 0.145 0.043
0.529 0.055 0.016
0.329 0.000 0.031
0.176 0.000 0.016
0.408 0.082 0.004
0.600 0.196 0.012
0.827 0.345 0.024
0.929 0.482 0.035
1.000 0.651 0.047
1.000 0.847 0.098
1.000 1.000 0.302
0.996 1.000 0.776
1.000 0.980 0.510
1.000 0.875 0.259
0.910 0.678 0.180
0.800 0.518 0.125
0.620 0.365 0.078
0.498 0.251 0.047
0.337 0.145 0.020
0.200 0.063 0.004
0.098 0.020 0.000
0.169 0.086 0.027
0.290 0.180 0.067
0.471 0.329 0.137
0.651 0.518 0.231
0.780 0.714 0.388
0.855 0.890 0.553
0.918 0.980 0.773
0.875 1.000 0.376
0.792 0.886 0.157
0.627 0.647 0.071
0.467 0.467 0.027
0.349 0.329 0.000
0.227 0.196 0.000
0.137 0.102 0.000
0.067 0.039 0.000
0.118 0.098 0.024
0.200 0.192 0.051
0.298 0.310 0.098
0.396 0.439 0.161
0.525 0.620 0.247
0.698 0.788 0.376
0.847 0.898 0.502
0.694 0.949 0.141
0.490 0.749 0.075
0.294 0.549 0.035
0.145 0.400 0.020
0.035 0.267 0.000
0.000 0.149 0.024
0.000 0.067 0.024
0.020 0.220 0.043
0.047 0.318 0.055
0.110 0.420 0.075
0.235 0.569 0.122
0.420 0.737 0.192
0.627 0.918 0.294
0.941 1.000 0.647
0.753 1.000 0.427
0.404 0.976 0.302
0.157 0.843 0.192
0.082 0.659 0.180
0.035 0.455 0.153
0.012 0.302 0.125
0.000 0.188 0.098
0.000 0.098 0.067
0.020 0.208 0.145
0.059 0.318 0.180
0.114 0.459 0.235
0.173 0.620 0.298
0.271 0.776 0.322
0.490 0.937 0.412
0.757 1.000 0.600
0.400 1.000 0.616
0.086 0.898 0.494
0.031 0.686 0.404
0.000 0.478 0.318
0.000 0.298 0.231
0.000 0.176 0.157
0.008 0.102 0.129
0.027 0.247 0.259
0.071 0.408 0.380
0.141 0.600 0.490
0.259 0.839 0.675
0.459 1.000 0.808
0.800 0.976 0.847
0.627 0.839 0.702
0.435 0.659 0.557
0.275 0.459 0.412
0.137 0.278 0.263
0.047 0.122 0.129
0.016 0.051 0.059
0.000 0.071 0.220
0.000 0.157 0.337
0.000 0.275 0.486
0.000 0.404 0.608
0.059 0.565 0.749
0.133 0.761 0.886
0.278 0.949 1.000
0.824 0.969 0.969
0.557 0.792 0.820
0.392 0.596 0.678
0.251 0.408 0.529
0.114 0.212 0.369
0.051 0.094 0.227
0.020 0.035 0.118
0.075 0.075 0.329
0.137 0.153 0.459
0.231 0.267 0.608
0.345 0.420 0.788
0.467 0.576 0.937
0.667 0.706 1.000
0.859 0.788 0.886
0.761 0.647 0.788
0.627 0.494 0.686
0.416 0.314 0.506
0.259 0.188 0.353
0.145 0.098 0.259
0.067 0.043 0.149
0.208 0.090 0.200
0.329 0.165 0.294
0.486 0.267 0.412
0.659 0.408 0.549
0.820 0.573 0.682
0.918 0.812 0.788
0.776 0.647 0.639
0.600 0.459 0.471
0.420 0.306 0.333
0.267 0.169 0.216
0.157 0.090 0.129
0.086 0.039 0.082
0.067 0.027 0.020
0.149 0.071 0.055
0.227 0.129 0.094
0.337 0.224 0.153
0.463 0.341 0.251
0.604 0.510 0.380
0.808 0.729 0.580
0.937 0.902 0.776
0.765 0.757 0.725
0.608 0.600 0.573
0.459 0.443 0.420
0.333 0.318 0.302
0.220 0.200 0.192
0.129 0.110 0.110
0.067 0.055 0.055
